"id","name","code"
nationality_1,"Bhutan","BTN"
nationality_2,"Bouvet Island","BVT"
nationality_3,"Botswana","BWA"
nationality_4,"Central African Republic","CAF"
nationality_5,"Canada","CAN"
nationality_6,"Cocos(Keeping)Islands","CCK"
nationality_7,"Switzerland","CHE"
nationality_8,"Chile","CHL"
nationality_9,"China","CHN"
nationality_10,"Cameroom","CMR"
nationality_11,"Democratic Republic of the Cong","COD"
nationality_12,"Congo","COG"
nationality_13,"Cook Islands","COK"
nationality_14,"Colombia","COL"
nationality_15,"Comoros","COM"
nationality_16,"Cape Verde","CPV"
nationality_17,"Costa Rica","CRI"
nationality_18,"Cuba","CUB"
nationality_19,"Curacao","CUW"
nationality_20,"Christmas Island","CXR"
nationality_21,"Cayman Islands","CYM"
nationality_22,"Cyprus","CYP"
nationality_23,"Czech Republic","CZE"
nationality_24,"Germany","DEU"
nationality_25,"Djibouti","DJI"
nationality_26,"Dominica","DMA"
nationality_27,"Denmark","DNK"
nationality_28,"Domincan Republic","DOM"
nationality_29,"Algeria","DZA"
nationality_30,"Ecuador","ECU"
nationality_31,"Egypt","EGY"
nationality_32,"Eritrea","ERI"
nationality_33,"Western Sahara","ESH"
nationality_34,"Spain","ESP"
nationality_35,"Estonia","EST"
nationality_36,"Ethiopia","ETH"
nationality_37,"Finland","FIN"
nationality_38,"Fiji","FJI"
nationality_39,"Falkland Islands(Malvinas)","FLK"
nationality_40,"France","FRA"
nationality_41,"Faroe Islands","FRO"
nationality_42,"Gabon","GAB"
nationality_43,"United Kingdom","GBR"
nationality_44,"Georgia","GEO"
nationality_45,"Guernsey","GGY"
nationality_46,"Ghana","GHA"
nationality_47,"Gibraltar","GIB"
nationality_48,"Guinea","GIN"
nationality_49,"Guadeloupe","GLP"
nationality_50,"Gambia","GMB"
nationality_51,"Guinea-Bisaau","GNB"
nationality_52,"Equatoria Guinea","GNQ"
nationality_53,"Greece","GRC"
nationality_54,"Grenada","GRD"
nationality_55,"Greenland","GRL"
nationality_56,"Guatemala","GTM"
nationality_57,"French Guiana","GUF"
nationality_58,"Guam","GUM"
nationality_59,"Guyana","GUY"
nationality_60,"Hong Kong","HKG"
nationality_61,"Honduras","HND"
nationality_62,"Croatia","HRV"
nationality_63,"Haiti","HTI"
nationality_64,"Hungary","HUN"
nationality_65,"Indonesia","IDN"
nationality_66,"Isle of Man","IMN"
nationality_67,"India","IND"
nationality_68,"Britsh Indian Ocean Territory","IOT"
nationality_69,"Ireland","IRL"
nationality_70,"Iran,Islamic Repulic of","IRN"
nationality_71,"Iraq","IRQ"
nationality_72,"Iceland","ISL"
nationality_73,"Israel","ISR"
nationality_74,"Italy","ITA"
nationality_75,"Jamaic","JAM"
nationality_76,"Jersey","JEY"
nationality_77,"Jordan","JOR"
nationality_78,"Japan","JPN"
nationality_79,"Kazakhstan","KAZ"
nationality_80,"Kenya","KEN"
nationality_81,"Cambodia","KHM"
nationality_82,"Kiribati","KIR"
nationality_83,"Saint Kitts and Nevis","KNA"
nationality_84,"Lebanon","LBN"
nationality_85,"Liberia","LBR"
nationality_86,"Libya","LBY"
nationality_87,"Saint Lucia","LCA"
nationality_88,"Liechtenstein","LIE"
nationality_89,"Sri Lanka","LKA"
nationality_90,"Lesotho","LSO"
nationality_91,"Lithuania","LTU"
nationality_92,"Luxembourg","LUX"
nationality_93,"Latvia","LVA"
nationality_94,"Macao","MAC"
nationality_95,"Saint Martin (French Part)","MAF"
nationality_96,"French Polynesia","PYF"
nationality_97,"Reunion","REU"
nationality_98,"Romania","ROU"
nationality_99,"Russian  Federation","RUS"
nationality_100,"Rwanda","RWA"
nationality_101,"Saudi Arabia","SAU"
nationality_102,"Sudan","SDN"
nationality_103,"Senegal","SEN"
nationality_104,"Singapore","SGP"
nationality_105,"Saint Helena","SHN"
nationality_106,"Svalbard and Jan Mayen","SJM"
nationality_107,"Solomon Islands","SLB"
nationality_108,"Sierra Leone","SLE"
nationality_109,"El Salvador","SLV"
nationality_110,"Saint Pierre and Miquelon","SPM"
nationality_111,"Serbia","SCG"
nationality_112,"South Sudan","SSD"
nationality_113,"Sao Tome and Principle","STP"
nationality_114,"Suriname","SUR"
nationality_115,"Slovakia","SVK"
nationality_116,"Slovenia","SVN"
nationality_117,"Swedon","SWE"
nationality_118,"Swaziland","SWZ"
nationality_118,"Sint Maarten(Dutch part)","SXM"
nationality_120,"Seychelles","SYC"
nationality_121,"Syrain Arab Republic","SYR"
nationality_122,"Turks and Caicos Islands","TCA"
nationality_123,"Chad","TCD"
nationality_124,"Togo","TGO"
