id,name,code,type_id
1,Allotment Over Cut - Off Date,AOC,Cencellation Reason
2,Better Rates Elsewhere,BRE,Cencellation Reason
3,Call from Company,CAC,Cencellation Reason
4,Double Booking,DBL,Cencellation Reason
5,Deposit/ Guarantee too Restrivtive,DPS,Cencellation Reason
6,Change Destination/ Change Schedule,DSC,Cencellation Reason
7,Extend Stay,EXT,Cencellation Reason
8,Flight Cancellation,FLX,Cencellation Reason
9,Rate too High/Requested Rate not Accepted,HPR,Cencellation Reason
10,Meeting Cancel,MEX,Cencellation Reason
11,Does not Materialise,NMZ,Cencellation Reason
12,Non Guarantee/ Time Release,NON,Cencellation Reason
13,NO Reason Given,NRS,Cencellation Reason
14,Others,OTH,Cencellation Reason
15,Hotel Overbooked,OVB,Cencellation Reason
16,Political Reason,POL,Cencellation Reason
17,Reduction in Rooms,RDU,Cencellation Reason
18,Sickness,SIC,Cencellation Reason
19,Visa not Available,VSA,Cencellation Reason
20,Weather Condition,WET,Cencellation Reason
21,Bad Pervious Experience,BPE,Discount Reason
22,Complaint,CPL,Discount Reason
23,Last Minute Special,LMR,Discount Reason
24,Length of Stay,LOS,Discount Reason
25,Top Management Request,MGM,Discount Reason
26,Promotion,PRO,Discount Reason
27,Requested Room Type not Available,RNA,Discount Reason
28,Special Partnerships,SPT,Discount Reason
