id,name,amenity_desc
1,Bathrobes,
2,Mirrors,
3,Towels,
4,Hair Dryer,
5,Toiletries,
6,Cleaning Products,
7,Scale,
8,Bathroom Phone,
9,Whirlpool Bathtub,
10,Additional Toilet,
11,Additional Bathroom,
12,Free WiFi,
13,Satellite/Cable Channels,
14,Telephone,
15,On-demand movies,
16,DVD/CD Player,
17,Air Conditioning,
18,Heating,
19,Sound Proofing,
20,Blackout Curtains,
21,Mosquito Net,
22,Alarm Clock,
23,Daily Newspaper,
24,Linens,
25,Slippers,
26,Umbrella,
27,Wakeup Service,
28,Private Entrance,
29,Carpeting,
30,Extra Long Bed,
31,High Floor,
32,Desk,
33,Sofa,
34,Seating Area,
35,Interconnecting Rooms Available,
36,Separate Dining Area,
37,Fireplace,
38,Laptop Workspace,
39,Wooden/Parqueted Flooring,
40,Separate Living Room,
41,Fire Extinguisher,
42,In-room Safe Box,
43,Laptop Safe Box,
44,Smoke Detector,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
